Date,Event Type,Number of Drivers,Demand,Inventory Level,Depot,Quantity Delivered,Distance from Depot (km),Number of Stations,Discounts
4/23/2023,Repair,0,19,3497573,Depot A,50,33,20,19
11/8/2023,Repair,1,9,4913615,Depot B,31,20,14,14
2/14/2024,Inspection,0,3,3504352,Depot B,43,19,13,17
10/7/2023,Inspection,7,16,191668,Depot B,100,41,18,4
8/31/2023,Inspection,6,35,6784876,Depot A,91,60,0,12
1/9/2024,Repair,7,34,6926087,Depot A,76,79,12,18
12/26/2023,Maintenance,7,15,375492,Depot A,50,27,11,4
5/18/2023,Repair,4,5,5702495,Depot A,13,9,14,2
5/19/2023,Repair,10,22,4855774,Depot A,34,75,4,20
7/12/2023,Repair,10,20,630821,Depot A,88,63,15,7
2/24/2024,Repair,0,14,2148465,Depot B,60,6,8,6
7/3/2023,Inspection,4,36,7290310,Depot A,48,85,18,15
1/27/2024,Maintenance,5,26,2849586,Depot A,95,14,19,4
12/1/2023,Repair,1,38,3932794,Depot B,75,56,8,5
4/15/2023,Inspection,0,33,5013950,Depot B,8,29,2,14
1/24/2024,Maintenance,2,3,2280546,Depot A,48,77,14,10
6/8/2023,Inspection,6,6,2989171,Depot B,6,32,4,12
3/17/2023,Inspection,8,37,1020104,Depot A,58,1,15,4
6/19/2023,Maintenance,8,35,7873064,Depot B,72,38,5,16
2/25/2024,Maintenance,6,47,7255336,Depot B,80,34,8,1
2/27/2024,Repair,7,26,1477513,Depot B,11,96,16,9
1/6/2024,Maintenance,4,14,622406,Depot B,11,81,16,0
4/19/2023,Repair,6,36,3707760,Depot A,37,70,5,7
4/23/2023,Maintenance,3,6,4322343,Depot A,6,79,8,18
3/12/2023,Repair,7,2,3835103,Depot B,63,2,16,0
2/5/2024,Repair,10,43,9346119,Depot A,24,83,16,17
6/6/2023,Repair,10,15,7185822,Depot A,7,96,9,5
8/21/2023,Repair,10,11,8248275,Depot B,6,65,1,0
7/25/2023,Repair,6,7,8875361,Depot B,77,96,13,4
6/15/2023,Maintenance,6,43,1530604,Depot B,88,99,0,3
12/1/2023,Repair,1,30,1670197,Depot B,72,7,12,17
1/19/2024,Repair,2,39,7984305,Depot B,44,57,17,15
11/6/2023,Maintenance,8,15,2340453,Depot B,14,71,10,1
5/7/2023,Inspection,4,38,3539229,Depot B,11,21,1,13
11/28/2023,Maintenance,8,33,4358151,Depot A,17,84,17,16
8/4/2023,Repair,3,27,1894602,Depot B,19,86,18,12
